city,lat,long,temp,hum,cld,wind,country
umm lajj,25.02,37.27,75.0,48,0,6.33,SA
vaini,-21.2,-175.2,80.6,74,20,10.29,TO
victoria,22.29,114.16,77.65,74,68,4.0,HK
oranjemund,-28.55,16.43,61.95,62,27,3.62,NA
punta arenas,-53.15,-70.92,48.0,76,100,17.0,CL
fare,-16.7,-151.02,83.32,75,0,10.42,PF
georgetown,5.41,100.34,78.4,94,20,3.36,MY
pueblo,38.25,-104.61,90.52,9,1,14.99,US
rikitea,-23.12,-134.97,79.3,82,100,17.78,PF
marsabit,2.33,37.99,64.67,70,82,15.79,KE
kawalu,-7.38,108.21,74.05,81,98,1.63,ID
hofn,64.25,-15.21,36.41,80,86,4.85,IS
three hills,51.7,-113.27,62.01,33,51,3.29,CA
cape town,-33.93,18.42,52.39,100,39,1.12,ZA
severo-kurilsk,50.68,156.12,41.94,83,37,8.41,RU
new norfolk,-42.78,147.06,50.23,82,93,5.01,AU
mozarlandia,-14.74,-50.57,72.41,69,0,4.56,BR
san cristobal,7.77,-72.22,70.09,60,54,2.48,VE
bredasdorp,-34.53,20.04,51.8,93,53,3.36,ZA
kloulklubed,7.04,134.26,84.2,79,90,8.05,PW
sinnamary,5.38,-52.95,79.18,85,97,11.03,GF
bethel,41.37,-73.41,55.83,96,94,6.24,US
uyemskiy,64.47,40.85,21.2,92,0,3.4,RU
ostrovnoy,68.05,39.51,18.91,93,64,5.75,RU
cockburn town,21.46,-71.14,80.17,82,0,13.4,TC
porto velho,-8.76,-63.9,77.0,94,40,2.24,BR
marawi,8.0,124.29,79.0,78,81,7.0,PH
ribeira grande,38.52,-28.7,62.49,78,41,29.37,PT
hermanus,-34.42,19.23,57.0,92,59,2.13,ZA
hamilton,39.18,-84.53,64.42,37,20,6.93,US
albany,42.6,-73.97,55.99,75,96,13.0,US
hilo,19.73,-155.09,75.67,65,90,9.17,US
namatanai,-3.67,152.43,83.71,75,98,2.82,PG
jamestown,42.1,-79.24,49.14,87,90,9.17,US
port alfred,-33.59,26.89,62.01,90,63,3.0,ZA
nhulunbuy,-12.23,136.77,82.4,65,90,17.22,AU
kahului,20.89,-156.47,76.06,61,40,28.86,US
puerto ayora,-0.74,-90.35,78.98,78,20,12.75,EC
sola,-13.88,167.55,87.8,70,75,8.05,VU
san quintin,30.48,-115.95,68.18,71,2,11.52,MX
basco,20.45,121.97,81.05,80,61,16.26,PH
pafos,34.77,32.42,56.34,87,40,1.12,CY
ushuaia,-54.8,-68.3,44.6,70,40,14.99,AR
kenai,60.55,-151.26,50.0,46,90,11.41,US
chokurdakh,70.63,147.92,21.52,97,100,6.44,RU
lavrentiya,65.58,-171.0,27.82,93,5,7.0,RU
hithadhoo,-0.6,73.08,84.87,76,12,11.54,MV
bluff,-46.6,168.33,57.92,67,100,15.61,NZ
hobart,-42.88,147.33,51.93,71,40,26.4,AU
real,14.66,121.6,86.47,70,20,4.7,PH
moctezuma,29.8,-109.67,94.84,12,86,17.49,MX
lunenburg,44.38,-64.32,48.0,97,100,3.0,CA
russell,32.35,-85.2,73.51,33,1,4.7,US
barinas,8.62,-70.21,83.93,54,54,2.3,VE
bilma,18.69,12.92,87.8,11,3,20.89,NE
busselton,-33.65,115.33,51.91,40,36,10.42,AU
port elizabeth,-33.92,25.57,57.2,93,36,3.36,ZA
port keats,-14.25,129.55,72.7,36,26,13.2,AU
noormarkku,61.59,21.87,42.8,75,100,12.75,FI
matagami,49.75,-77.63,50.0,34,1,9.17,CA
coquimbo,-29.95,-71.34,57.2,87,4,8.05,CL
lebu,-37.62,-73.65,54.64,91,100,1.9,CL
